
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
========================= ======== ================ =========== ============ =============== ================================================== ============ ========================================================================
System Idle Process              0 Services                   0          8 K Unknown         NT AUTHORITY\SYSTEM                                     0:54:03 N/A                                                                     
System                           4 Services                   0        148 K Unknown         N/A                                                     0:00:43 N/A                                                                     
Registry                        72 Services                   0     31,676 K Unknown         N/A                                                     0:00:02 N/A                                                                     
smss.exe                       532 Services                   0      1,028 K Unknown         N/A                                                     0:00:00 N/A                                                                     
csrss.exe                      628 Services                   0      5,012 K Unknown         N/A                                                     0:00:00 N/A                                                                     
csrss.exe                      696 Console                    1      5,104 K Running         N/A                                                     0:00:00 N/A                                                                     
wininit.exe                    712 Services                   0      5,332 K Unknown         N/A                                                     0:00:00 N/A                                                                     
winlogon.exe                   748 Console                    1     10,216 K Unknown         N/A                                                     0:00:00 N/A                                                                     
services.exe                   816 Services                   0      8,152 K Unknown         N/A                                                     0:00:16 N/A                                                                     
lsass.exe                      824 Services                   0     18,644 K Unknown         N/A                                                     0:00:22 N/A                                                                     
fontdrvhost.exe                912 Console                    1      4,392 K Unknown         N/A                                                     0:00:00 N/A                                                                     
fontdrvhost.exe                920 Services                   0      3,452 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                    940 Services                   0     29,476 K Unknown         N/A                                                     0:00:04 N/A                                                                     
svchost.exe                    560 Services                   0     15,252 K Unknown         N/A                                                     0:00:11 N/A                                                                     
svchost.exe                    644 Services                   0      6,772 K Unknown         N/A                                                     0:00:00 N/A                                                                     
dwm.exe                        996 Console                    1     62,628 K Running         N/A                                                     0:00:05 DWM Notification Window                                                 
svchost.exe                   1120 Services                   0      4,352 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1136 Services                   0      9,272 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1152 Services                   0      5,220 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1168 Services                   0     11,600 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1252 Services                   0     14,484 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   1316 Services                   0     15,552 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   1332 Services                   0      5,900 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1344 Services                   0     13,200 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1428 Services                   0      9,100 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1440 Services                   0      6,440 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1524 Services                   0      6,460 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1576 Services                   0     10,324 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1628 Services                   0     13,440 K Unknown         N/A                                                     0:00:06 N/A                                                                     
svchost.exe                   1640 Services                   0      7,120 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1652 Services                   0      4,996 K Unknown         N/A                                                     0:00:00 N/A                                                                     
Memory Compression            1744 Services                   0    124,480 K Unknown         N/A                                                     0:00:06 N/A                                                                     
svchost.exe                   1768 Services                   0      7,056 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1832 Services                   0      9,076 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   1852 Services                   0      6,556 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1872 Services                   0      7,788 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1952 Services                   0     12,888 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2036 Services                   0      6,916 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1684 Services                   0      7,388 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1664 Services                   0      9,668 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   1888 Services                   0     17,128 K Unknown         N/A                                                     0:00:08 N/A                                                                     
svchost.exe                   2060 Services                   0      7,680 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2256 Services                   0     11,448 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2276 Services                   0      6,620 K Unknown         N/A                                                     0:00:00 N/A                                                                     
spoolsv.exe                   2384 Services                   0     11,996 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2420 Services                   0     13,784 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   2496 Services                   0      6,672 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2608 Services                   0     13,272 K Unknown         N/A                                                     0:00:13 N/A                                                                     
svchost.exe                   2616 Services                   0     41,452 K Unknown         N/A                                                     0:00:08 N/A                                                                     
svchost.exe                   2636 Services                   0     31,172 K Unknown         N/A                                                     0:00:01 N/A                                                                     
svchost.exe                   2648 Services                   0     18,676 K Unknown         N/A                                                     0:00:04 N/A                                                                     
svchost.exe                   2688 Services                   0      7,804 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2736 Services                   0      5,212 K Unknown         N/A                                                     0:00:00 N/A                                                                     
Sysmon.exe                    2752 Services                   0     17,028 K Unknown         N/A                                                     0:00:13 N/A                                                                     
svchost.exe                   2776 Services                   0      4,676 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2792 Services                   0     18,876 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2864 Services                   0      4,588 K Unknown         N/A                                                     0:00:00 N/A                                                                     
svchost.exe                   2896 Services                   0      8,476 K Unknown         N/A                                                     0:00:00 N/A                                                                     
